true_label,Twiitti_final,BERT,DistilBERT,Llama-3.1.8B-Instruct (Naive),GPT4o-mini-naive,GPT4o-mini-sophisticated,DeepSeek distilled-qwen-32B (reasoning) naive,DeepSeek distilled-qwen-32B (reasoning) sophisticated,Llama,GPT4o-mini-word_or_words_contributing_the_most (naive,GPT4o-mini-word_or_words_contributing_the_most (sophisticated with comments),GPT4o-mini-sophisticated,DeepSeek-MetaCommentsAboutReasoning
0,,0,0,0,0,0,0,0,"""logistics"", ""expert"".",logistics expert,"XXXXXXXX, logistics expert, look forward. The tweet primarily discusses personal experiences and learning in a professional context without any reference to corporate political activity, social responsibility, or activism.",,"""RT @XXXXX: A couple of days behind @XXXX as a logistics expert. A lot to learn and I look forward to getting..."" This is a personal update about work experience. No political content here, so 0."
0,,0,0,0,0,0,0,0,"""recommend"", ""option"".","juice bottles, suitable bottle","recommend, juice, suitable bottle. The tweet discusses product recommendations and consumer choices without any reference to corporate political activity, social responsibility, or activism.",,"""@XXXXX Thanks for the question XXXXX. We do not recommend the re-use of Saskia bottles as juice bottles. We might not be going to recommend the latter option. I hope you find a suitable bottle for juice!"" This is customer service regarding product recommendations. No political elements, so 0."
0,,0,0,0,0,0,0,0,"""traffic"", ""video""","traffic, video","traffic, video, Krasnoyarsk. The tweet discusses traffic conditions and includes a video, which are non-political topics and do not relate to corporate political activity, political corporate social responsibility, or corporate social activism.",,"""RT @XXXXXX: Last night’s traffic on way into Krasnoyarsk, video by XXXXX <URL>"" This is a news update about traffic. Not political, so 0."
0,,0,0,0,0,0,0,0,Respect,Respect,"Respect. The term 'Respect' is too vague and does not indicate any specific political activity, corporate social responsibility, or activism. It lacks context that would tie it to political concepts as defined.",," ""@XXXXXX Respect"" A simple comment without any political context. 0."
1,,1,1,1,1,1,1,1,"Freedom of speech, Grand Journalist Prize",#Freedom of speech,"#Freedom of speech, 'journalism', 'communication' - These words indicate a focus on freedom of expression and the role of journalism, which are inherently political issues related to societal values and governance.",,"""Happy Freedom of speech! Today we are celebrating Finnish journalism and high-quality communication when the winners of the Grand Journalist Prize are announced. Direct gala broadcast from the Sanomatalo can be followed by @ Entertainment4 and @XXXXXX from 19:00. #Freedom of speech #sjp2021 @XXXXXX <URL>"" This is about celebrating freedom of speech and journalism. It's a societal issue and could be seen as corporate social activism if the company is promoting this cause. So, I'll classify this as 1."
1,,1,1,0,0,0,1,1,"prosperous, sustainable","prosperous, sustainable","prosperous, sustainable, #BuildingPerformance. The tweet expresses well-wishes for the new year and mentions sustainability, but it does not engage in corporate political activity, political corporate social responsibility, or corporate social activism. It lacks a direct connection to influencing government policies or addressing societal issues in a political context.",,"""We want to thank you for this year and wish all of you a prosperous, sustainable 2022! #NewYear2022 #BuildingPerformance <URL>"" Mentioning sustainability and building performance. Sustainability is a societal issue, so this could be PCSR. Therefore, it's 1."
1,,1,1,0,0,0,1,1,"sustainability, energy efficiency","energy efficiency, responsibility","energy efficiency, responsibility. The tweet discusses IT management's role in improving energy efficiency and responsibility, which relates to corporate practices but does not directly engage with political activity, corporate social responsibility, or activism as defined in the prompt.",,"""How can IT management improve the company's energy efficiency and responsibility? Read the answers in the blog"" This is about improving energy efficiency and responsibility, which relates to corporate social responsibility. So, it's 1."
1,,1,1,1,1,1,1,0,"European Central Bank, Insitution",European Central Bank,"European Central Bank, research, POLITICO. This tweet references the European Central Bank, which is a significant governmental institution involved in economic policy, and mentions unpublished research, indicating a focus on political and economic matters that align with corporate political activity.",,"""RT @XXXXXX: Unpublished research by the European Central Bank's staff committee, seen by POLITICO, found that many of the instituti… [truncated]"" This mentions research by the ECB, which is a government institution. It's about economic policies, which could be corporate political activity if it's influencing policies. However, the tweet is about research findings, not corporate action. So, it's 0."
0,,0,0,0,0,0,0,0,bathroom modules,module construction,"#Lujabetoni, #Luja, #Fira, #module, construction. The tweet primarily discusses specific products and construction modules without any reference to political activity, corporate social responsibility, or activism. It focuses on construction rather than any political or societal issues.",,"""#Lujabetoni's #Luja superlatea and #Fira's bathroom modules #module construction <URL>"" This is product promotion. No political content, so 0."
0,,0,0,0,0,0,0,0,"KONE, UVC-technology","handrails, disinfectant, bacteria, viruses","handrails, disinfectant, bacteria, viruses. The tweet focuses on a specific product and its functionality in a non-political context, emphasizing health and safety rather than corporate political activity or social responsibility.",,"""Almost 400 metres of handrails at Helsinki Airport are provided by KONE’s UVC-technology disinfectant that removes bacteria and viruses from the railing surface. <URL>"" This is about a product's functionality. While it's about disinfection, it's not addressing a societal issue beyond the product's use. So, 0."
0,,0,0,0,0,0,0,0,"communications, diamond","team, communication","team, skilled, communication. The tweet focuses on the addition of a new team member and does not address any political activity, corporate social responsibility, or activism. It is primarily about internal team dynamics and communication, which falls outside the definition of a political tweet.",,"""The team was supplemented this week when we got a skilled and all-around top @XXXXX into our diamond communications team! #lifeguards #communication <URL>"" This is a personnel update, not political. So, 0."
0,,0,0,0,0,0,0,0,conventional WEB,"innovative, technologies, future","innovative, technologies, future. The tweet discusses innovative technologies and their potential impact on the future, but it does not reference any corporate political activity, corporate social responsibility, or activism. It focuses on technological experimentation rather than political or corporate influence.",,"In this TechTalk, Anca is going to step out of the conventional WEB and experiment with innovative early-stage technologies that might shape our future! This is about technology innovation. No political aspect, so 0."
0,,0,0,0,0,0,0,0,"list"", ""describe"".","Thank you, list","Thank you, list, describe. The tweet expresses gratitude and mentions making a list to describe individuals, which does not align with political activity or corporate communication concepts. It lacks references to lobbying, societal issues, or corporate activism.",," ""@XXXXX @XXXXX @XXXX @XXXX @XXXXX @XXXXX @XXXXX @XXXXX @XXXX @XXXX @XXXXXX @XXXXX @XXXX @XXXXX @XXXXX @XXXXXX @XXXXXX @XXXXX @XXXXXX @XXXXX Thank you Auli. I am pleased to be able to make such a list - which is also suitable to describe you!"" This is a thank you message to multiple people. No political content, so 0. "
1,,0,0,0,0,0,0,0,meteorologist,"Meteorologist, mission","Meteorologist, mission. The tweet does not reference any corporate political activity, social responsibility, or activism. It simply expresses appreciation for a meteorologist, which is non-political in nature.",,"""Meteorologist with a mission. I appreciate it. <URL>"" This is a comment on a meteorologist's work. Not political, so 0."
1,,1,1,1,1,1,1,1,"climate, measures, municipalities, residents, energy","energy campaign, climate measures, municipalities","climate measures', 'employment', 'campaign'. The tweet discusses a campaign that focuses on both employment for young people and climate measures, which aligns with the concepts of corporate political activity and political corporate social responsibility. The mention of 'climate measures' indicates an engagement with societal issues, while 'employment' suggests a focus on workforce development, both of which are relevant to corporate efforts to influence policies and address societal challenges.",,"Talks about a job energy campaign focusing on employment of young people and climate measures. This seems related to societal issues and corporate social responsibility. So, classification 1. The key words are ""climate measures,"" ""young people,"" and ""campaign."""
1,,1,1,1,1,1,1,1,,"#sustainability, #climate",#XXXXXXX,," Discusses XXXXX\'s climate-friendly office. This is about sustainability and environmental efforts, which falls under PCSR. So, 1. Keywords  ""climate-friendly,"" ""sustainability."
0,,1,0,0,0,0,0,0,"RT, owned","store, owned","store, owned, thought, Turku - The tweet discusses a historical concept of ownership related to a store in Turku but does not engage with any political activity, corporate social responsibility, or activism. It lacks references to influencing government policies or addressing societal issues.",," A retweet about a store idea from 120 years ago. It\'s historical and doesn\'t seem to address political or social issues. So, 0. Keywords  ""store,"" ""thought."
1,,1,1,0,1,1,0,1,"RT, terminal","biogas terminal, important part","biogas terminal, important part, agreement, plant site. The mention of 'biogas terminal' indicates a corporate initiative that aligns with environmental sustainability, which can be seen as a form of corporate social responsibility. Additionally, the phrase 'important part' suggests that this initiative is significant in the context of corporate activities that may influence or align with broader societal goals, thus fitting the definition of a political tweet.",," Talks about building a biogas terminal, which is an environmental initiative. This is CSA or PCSR. So, 1. Keywords  ""biogas terminal,"" ""environment."
0,,0,0,1,0,0,0,0,"""investment"", ""scaling-up"", ""goal-oriented"", ""development","investment, growth","investment, scaling-up, growth. The tweet focuses on a company's financial success and growth strategy without addressing any political issues, lobbying, or corporate social responsibility initiatives.",," About an investment in a company for scaling. It\'s more about business growth without clear political or social focus. So, 0. Keywords  ""investment,"" ""scaling."""
1,,1,1,1,0,0,0,1,"waste"", ""minimize""",waste,"#waste. The tweet discusses selling old foods to minimize waste, which is more focused on a business practice and environmental concern rather than a direct political activity or corporate social responsibility initiative.",," Selling old food to minimize waste. This is about reducing waste, which is a sustainability effort. So, 1. Keywords  ""waste,"" ""minimize."
1,,1,1,1,1,1,1,1,"""Carbon"", ""Sustainability"", ""Initiative"", ""Year"".","#Sustainability, low carbon","#Sustainability, 'low carbon construction' - The tweet discusses an initiative focused on sustainability and low carbon construction, which aligns with corporate social responsibility and corporate social activism concepts. The emphasis on sustainability indicates an effort to address societal issues, making it a political tweet.",,"Normet UK winning an award for carbon and sustainability. This is clearly a PCSR effort. So, 1. Keywords  ""Carbon,"" ""Sustainability."""
0,,0,0,0,0,0,0,0,currently,interviewing,"interviewing. The tweet simply states that one person is interviewing another without any indication of political content, corporate activity, or social responsibility.",," An interview, which is neutral and not political. So, 0. Keywords  ""interview."
0,,0,0,0,0,0,0,0,yu,Thank yu,"Thank you. The tweet expresses gratitude without any reference to political activity, corporate social responsibility, or activism.",," A thank you message, no political content. So, 0. Keywords  ""Thank yu."
0,,0,0,0,0,0,0,0,"RT, fininishing","finishing work, dam","The tweet discusses the completion of a construction project without any reference to corporate political activity, social responsibility, or activism. Words like 'finishing work' and 'dam' indicate a focus on construction rather than political engagement.",,"Discusses dam construction. It\'s more about infrastructure without clear political alignment. So, 0. Keywords ""dam,"" ""construction."""
1,,1,1,0,1,0,1,1,"RT, fish","restore, natural loop","natural loop, lake trout, fish heart. The tweet discusses ecological restoration efforts related to fish populations, which does not align with corporate political activity, political corporate social responsibility, or corporate social activism as defined. It focuses on environmental issues rather than corporate influence or societal issues in a political context.",," Restoring fish populations, which is an environmental effort. So, 1. Keywords  ""fish,"" ""natural loop."
0,,0,0,1,0,0,0,0,"""district"", ""heating"", ""network"", ""interruption"", ""map"".","district heating network, electricity network","#District heat, #interruption map, #Operation security, #Electricity networks, #turcuenergy. These terms focus on operational aspects of energy networks and do not indicate any corporate political activity, social responsibility, or activism. The tweet is primarily informative about service interruptions rather than engaging in political discourse or corporate influence.",," Interruption maps for heating and electricity. This is about service updates, not political. So, 0. Keywords  ""interruption map."
0,,0,0,1,0,0,0,0,"""modernization"", ""IT"", ""operating"".","modernization, IT functions, operating model","modernization, IT functions, operating model. The tweet focuses on a partnership for IT modernization and operational changes, which are more related to business operations rather than political activities or corporate social responsibility efforts.",," Partnership for IT modernization. Business collaboration without political focus. So, 0. Keywords  ""modernization,"" ""partner."""
0,,0,0,0,0,0,0,0,"Christmas, tradition","Christmas Tables, tradition, culture","Happy, exhibition, culture. The tweet focuses on a cultural event and tradition rather than any political activity or corporate social responsibility. It highlights a brand's involvement in a festive exhibition, which does not align with the definitions of political tweets provided.",," Christmas exhibition, cultural event. Not political. So, 0. Keywords  ""Christmas Tables,"" ""tradition."""
1,,1,1,1,1,1,1,1,"""#trade"", ""#sustainability"", ""good"", ""economy"", ""boring"". ","#trade, #sustainability, economy","#trade, #sustainability,",," Discusses trade and sustainability together. This is about integrating sustainability into trade, which is PCSR. So, 1. Keywords  ""trade,"" ""sustainability."""
0,,0,0,1,0,0,0,1,"Explanation: ""#XXXXXX"", ""#construction"", ""#Training"", ""#Retraining"". ","retrain, develop, construction, Training, Renovation","Frans Vainio, retrain, develop, construction, Training, Retraining, Renovation. The tweet focuses on individual development and training within the construction sector, which does not align with corporate political activity, political corporate social responsibility, or corporate social activism. It emphasizes personal and professional growth rather than corporate influence on government policies or societal issues.",," Construction sector retraining. This is about workforce development, which can be PCSR. So, 1. Keywords ""retrain,"" ""construction."""
0,,0,0,0,0,0,0,0,"RT, product","online order, product","Thank you, online order, product, advertised. The tweet expresses gratitude for a service received and discusses product satisfaction, which does not align with political activity or corporate social responsibility concepts.",," Customer service feedback. Not political. So, 0. Keywords  ""thank you,"" ""product."
0,,0,0,0,0,0,0,0,"event, QR-code","professionals, solutions, nonwoven products","nonwoven products, solutions, meeting, event, discuss. The tweet primarily focuses on promoting a product and inviting engagement at an event, which aligns more with corporate marketing rather than political activity or corporate social responsibility.",," Promoting nonwoven products. Marketing, not political. So, 0. Keywords  ""nonwoven products."""
0,,0,0,1,0,0,0,1,"#meolellaXXXXXXX, #WorkSituated","support, development, skills","support, development, personnel skills. The tweet discusses methods for supporting personnel skills development, which is more focused on workplace improvement rather than influencing government policies or addressing societal issues in a corporate context.",," Personnel skills development. Workforce training, which is PCSR. So, 1. Keywords  ""skills,"" ""development."""
1,,1,1,1,1,1,1,1,"""programme"", ""state"", ""natural environment"".","biodiversity, natural environment","improving', 'biodiversity', 'natural environment', 'outside the economic use of forests' - These phrases indicate a focus on environmental improvement and corporate responsibility beyond mere profit motives, aligning with the concepts of political corporate social responsibility (PCSR) and corporate social activism (CSA).",," Funding for natural environment projects. This is a PCSR effort. So, 1. Keywords  ""biodiversity,"" ""funding."""
0,,0,0,0,0,0,0,0,"""Webinar"", ""firm""","Webinar, exceptional year","Webinar, exceptional year, firm companies. The tweet primarily discusses a webinar and the survival of a company during a specific year, which does not align with the concepts of corporate political activity, political corporate social responsibility, or corporate social activism. It focuses on a business event rather than political engagement or influence.",," Webinar about surviving 2020. Business resilience, not political. So, 0. Keywords  ""Webinar,"" ""survive."""
1,,1,1,0,0,1,0,1,"""donation"", ""target"", ""thanks""","donation, patients, hospitals","donation target, children's hospitals, Cancer Foundation. This tweet discusses corporate donations to healthcare-related causes, which aligns with the concept of Political Corporate Social Responsibility (PCSR) as it addresses societal issues (healthcare for children) and reflects the company's efforts to contribute positively to the community.",," Donations to hospitals and cancer foundation. Philanthropy, which is PCSR. So, 1. Keywords  ""donation,"" ""hospitals."""
0,,0,0,0,0,0,0,0,"""Functional"", ""Safety""",Functional Safety Engineer,"Functional Safety Engineer. This tweet is a job posting and does not contain any elements related to corporate political activity, political corporate social responsibility, or corporate social activism. It focuses solely on recruitment without any political context.",," Job posting, not political. So, 0. Keywords  ""Functional Safety Engineer."""
0,,0,0,0,0,0,0,0,"RT, digitalization","webinar, digitalization","Reliability, lifecycle management, digitalization - These terms are focused on operational aspects and services rather than political activities or corporate social responsibility efforts. The tweet does not indicate any attempt to influence government policies or address societal issues.",," Webinar series on digitalization. Business topic, not political. So, 0. Keywords  ""digitalization,"" ""webinar."""
0,,0,0,0,0,0,0,0,"""challenge"", ""prize fund"".","contest, prize fund","XXXXXXX, Palladium Challenge, contest, prize fund. The tweet primarily discusses a contest organized by Nornickel with a monetary prize, which does not align with the definitions of corporate political activity, political corporate social responsibility, or corporate social activism. It focuses on a business initiative rather than an effort to influence government policies or address societal issues.",," Contest with prize for precious metals. Business promotion, not political. So, 0. Keywords  ""contest,"" ""prize."""
1,,0,0,0,0,0,0,1,"""testing"", ""site"", ""fast""","testing, Fast","testing, Fast, preventative. The tweet primarily discusses mobile testing and its practical implementation, which does not align with corporate political activity, political corporate social responsibility, or corporate social activism. It focuses on a specific operational aspect rather than any political or corporate influence on societal issues.",," Mobile testing for COVID-19. Public health effort, which is PCSR. So, 1. Keywords  ""testing,"" ""korona."""
1,,1,1,1,1,1,1,1,"""#innovations"", ""#circular economy","responsibly produced, Finnish food","responsibly produced', 'domestic', 'food', 'cooperation'. This tweet discusses the cooperation between two companies to import responsibly produced protein, which aligns with the concept of Political Corporate Social Responsibility (PCSR) as it addresses societal issues related to food production and sustainability. The emphasis on 'responsibly produced' indicates a commitment to ethical practices, which is a key aspect of corporate social responsibility.",,"This tweet talks about a cooperation between two companies aiming to import responsibly produced protein. The keywords here are ""responsibly produced,"" ""innovations,"" and ""circular economy."" These terms relate to corporate social responsibility (CSR) and sustainable practices, which fall under the category of Political Corporate Social Responsibility (PCSR). The focus is on improving societal issues through business operations, so this should be classified as political."
0,,0,0,0,0,0,0,0,"""Sonepar"", ""Welcome""","Sonepar, brands","Congratulations, move, brands, Welcome. The tweet focuses on a corporate achievement and branding rather than any political activity or social responsibility. It celebrates a corporate rebranding without addressing any societal issues or government influence.",,"This is a congratulatory message about a company rebranding. The content doesn't address any political or societal issues. It's more about corporate restructuring and branding. There's no mention of influencing government policies, addressing societal issues, or taking stances on controversial topics. Therefore, this is non-political. "
0,,0,0,0,0,0,0,0,thanks,"Congratulations, Success","Congratulations, Success. The tweet expresses a congratulatory sentiment without any reference to political activity, corporate social responsibility, or activism. It lacks any context that aligns with the definitions provided for political tweets.",,"**Analysis:** This is a simple congratulatory message without any political content. It doesn't discuss any policies, societal issues, or corporate activism. It's purely a personal or business congratulation, so it's non-political."
0,,0,0,1,0,0,0,0,"""#subscriptionbased"", ""#Banking"".","subscription, services, Banking","subscription, services, selling products. The tweet discusses a business model shift towards subscription services, which is more about corporate strategy and market trends rather than political activity or corporate social responsibility.",,"**Analysis:** This tweet discusses a shift in business strategy from product sales to service subscriptions. The focus is on business models and financial services. While it's about corporate strategy, it doesn't address any political activities or societal issues. It's more about internal business operations, so it's non-political."
1,,1,1,1,1,1,0,1,"""sustainable"", ""future""",fossil-free society,"fossil-free society', 'electric timber truck'. This tweet discusses the development of an electric timber truck as part of a broader initiative towards a fossil-free society, which aligns with corporate social activism (CSA) and political corporate social responsibility (PCSR) by addressing environmental issues and promoting sustainable practices. The focus on sustainability and innovation in transportation indicates a corporate effort to influence societal norms and policies regarding environmental responsibility.",,"**Analysis:** This tweet mentions moving towards a fossil-free society and developing electric vehicles. These are efforts related to environmental sustainability, which can be seen as part of corporate social responsibility. Addressing climate change and environmental issues are societal concerns, so this is political."
1,,1,0,0,1,1,1,1,"""Minister"", ""Ohio"", ""what if","Minister, hungry","Minister, hungry. The mention of 'Minister' indicates a reference to a government official, which aligns with political discourse. The question about hunger suggests a concern related to public policy or government action, further emphasizing the political nature of the tweet.",,"**Analysis:** This seems to be a comment directed at a minister, possibly discussing policy or government actions. The mention of a minister and a question about hunger could imply political discourse or criticism. This suggests involvement in political communication, so it's political."
0,,1,0,1,0,0,0,0,"""network"", ""stations"", ""Sipoose",gas refuelling stations,"gas, refuelling stations, heavy traffic, passenger cars. The tweet primarily discusses the development of a gas refuelling station network, which is more focused on business operations and infrastructure rather than political activity or corporate social responsibility. There is no indication of efforts to influence government policies or address societal issues in a political context.",,"This is about expanding infrastructure for gas refueling. While it's related to transportation and possibly sustainability, it doesn't explicitly address political activities or societal issues beyond business operations. It's more about corporate expansion, so it's non-political."
0,,0,1,0,0,0,0,0,"""Midsummer"", ""pandemic"", ""shopping carts""","Midsummer, pandemic, shopping carts","Midsummer, pandemic, shopping carts, grilling products, early potatoes. The tweet discusses seasonal celebrations and consumer behavior without any reference to corporate political activity, corporate social responsibility, or activism. It focuses on personal and cultural aspects rather than political or corporate issues.",,This is a casual observation about Midsummer celebrations and shopping trends. There's no political content here; it's purely about cultural practices and consumer behavior. Non-political.
0,,0,0,1,0,0,0,0,"""Veikkaus"", ""gambling"", ""balance""","gambling, game account, money transfer","gambling, game account, money transfer. The tweet discusses the mechanics of a gambling service and the management of game accounts without addressing any political issues or corporate political activities. It focuses on operational details rather than any influence on government policies or societal issues.",,**Analysis:** This is an informational tweet about game account balances and money transfers. It doesn't involve any political or societal issues. It's purely about the rules of a game or service. Non-political.
0,,0,0,0,0,0,1,0,"""working life"", ""study"", ""work""","working life, study","working life, study, work - These terms indicate a focus on employment and work-related topics rather than political activity or corporate influence on government policies. The tweet discusses a willingness to move after work and references a study, which aligns more with social or economic discussions rather than political engagement.",,"**Analysis:** This is about a discussion on working life and willingness to move for work. While it touches on employment topics, it doesn't involve political activities or corporate influence on policies. It's more about social aspects of work, so non-political."
0,,0,0,0,0,0,0,0,corona,"Football, match, Wembley","Football, match, Wembley, corona. The tweet primarily discusses a football match and personal experiences related to it, with no reference to corporate political activity, political corporate social responsibility, or corporate social activism.",,**Analysis:** This is about a football match and the user's experience watching it. It doesn't have any political content. It's purely a sports-related tweet. Non-political.
1,,1,1,1,1,1,1,1,"""#ClimateAction"", ""#CDP"", ""transparency""",#ClimateAction,"#ClimateAction, 'transparency', 'highest ‚ÄòA‚Äô score for climate change' - These terms indicate a corporate commitment to addressing climate change, which aligns with the concept of Political Corporate Social Responsibility (PCSR). The mention of transparency and recognition for climate action suggests an effort to influence societal issues beyond core business operations, reflecting a political stance on environmental responsibility.",,"**Analysis:** This tweet highlights the company's efforts in climate action and transparency. Climate change is a significant societal issue, and addressing it falls under corporate social responsibility. The focus on environmental sustainability makes this political."
0,,0,0,0,0,0,0,0,"""pancakes"", ""traditionals""","pancakes, traditionals","pancakes, traditionals, free hand, dark crispy edges. The tweet discusses personal preferences and traditions related to making pancakes, which does not align with corporate political activity, political corporate social responsibility, or corporate social activism.",,**Analysis:** This is a personal or cultural tweet about pancakes and traditions. It doesn't involve any political or societal issues. Non-political.
0,,0,0,0,0,0,0,0,"""XXXXXXX"", ""XXXXXX""","Congratulations, good luck","Congratulations, good luck. The tweet expresses well-wishes without addressing any political issues, corporate activities, or societal concerns, thus falling into the non-political category.",,**Analysis:** A congratulatory message without any political content. It's a simple well-wishing message. Non-political.
1,,0,0,1,1,1,1,0,"""Russia"", ""Belarus"", ""transfer its business""","investors, Russia, Belarus","transfer, investors, withdraw, Belarus, Russia. This tweet discusses a company's intention to transfer its business operations in Russia and withdraw from Belarus, which aligns with corporate political activity (CPA) as it involves strategic decisions influenced by the political environment in those countries.",,"**Analysis:** This discusses business operations in Russia and Belarus. While it's about corporate decisions, it doesn't involve influencing government policies or addressing societal issues. It's more about business strategy. Non-political."
1,,1,1,1,1,1,1,1,"""#EV"", ""#ESG"", ""sustainable"", ""responsibly sourced""","#ESG, responsibly sourced","#ESG, 'sustainable', 'responsibly sourced metals', 'growing demand' - These terms indicate a focus on environmental, social, and governance (ESG) criteria, which align with corporate social responsibility and political corporate social responsibility efforts. The mention of sustainable production in response to market demand also suggests an awareness of corporate political activity in influencing industry standards and practices.",,"**Analysis:** This is about increasing sustainable production to meet demand for electric vehicles. Sustainable practices and ESG (Environmental, Social, Governance) factors are part of corporate social responsibility. Addressing environmental and societal needs through business operations makes this political."
